old_name,decision,new_name,remark
x_studio_adresse_echantillon,keep,cad_adresse_echantillon,
x_studio_article_cmd,delete,,
x_studio_assurance,keep,cad_credit_safe,
x_studio_assurance_1,delete,,
x_studio_assurance_bc,keep,cad_assurance,
x_studio_atradius,keep,cad_assurance,
x_studio_autres,keep,cad_autres,
x_studio_availability,keep,cad_availability,
x_studio_bl_groupe,keep,cad_bl_groupe,
x_studio_boolean_field_4aNhP,delete,,
x_studio_boolean_field_aAT5k,delete,,
x_studio_categorie_client,keep,cad_categorie_client,Créer la liste à part (comme pour les préparateurs) afin de pouvoir la modifier dans le futur
x_studio_char_field_5RdEx,delete,,
x_studio_char_field_9qPyX,delete,,
x_studio_char_field_PCyAa,delete,,
x_studio_char_field_Pjx5Y,delete,,
x_studio_char_field_RBRXY,delete,,
x_studio_char_field_U2Qbo,delete,,
x_studio_char_field_b7ad5,delete,,
x_studio_char_field_exS0q,delete,,
x_studio_char_field_oXCBS,delete,,
x_studio_char_field_xpfI6,delete,,
x_studio_char_field_zcf7n,keep,cad_fermeture_1,
x_studio_cmup,delete,,
x_studio_code_service_chorus,keep,cad_code_service_chorus,
x_studio_code_taxe,delete,,
x_studio_conditionnement,keep,cad_conditionnement,
x_studio_contact,keep,cad_contact,
x_studio_coordinateur,keep,cad_coordinateur,
x_studio_cout_transport,keep,cad_cout_transport,
x_studio_cre_par,delete,,
x_studio_date,delete,,
x_studio_date_depart,keep,cad_date_depart,
x_studio_date_initiale,keep,cad_date_initiale,
x_studio_date_livraison,keep,cad_date_livraison,
x_studio_date_prvu,keep,cad_date_prevue,
x_studio_date_prvue_initiale,keep,cad_date_prevue_initiale,
x_studio_date_souhaite,keep,cad_date_souhaitee,
x_studio_date_transfert,delete,,
x_studio_dbut_de_march,keep,cad_debut_marche,
x_studio_dispo_confirmee,keep,cad_dispo_confirmee,
x_studio_douane,delete,,
x_studio_dpd_nb_colis,keep,cad_dpd_nb_colis,
x_studio_email,keep,cad_email,
x_studio_embarquement,keep,cad_embarquement,
x_studio_erreur_client,keep,cad_erreur_client,
x_studio_erreur_preparation,keep,cad_erreur_preparation,
x_studio_erreur_saisie,keep,cad_erreur_saisie,
x_studio_etat_facture,delete,,
x_studio_etiquettes,delete,,
x_studio_etiquettes_clients,delete,,
x_studio_fermeture_2,keep,cad_fermeture_2,
x_studio_field_GzsJK,delete,,
x_studio_field_SlKde,delete,,
x_studio_field_UQwvT,delete,,
x_studio_field_iPtqU,delete,,
x_studio_field_p3dnG,delete,,
x_studio_field_qrjIt,delete,,
x_studio_field_rHWR6,delete,,
x_studio_field_x143A,delete,,
x_studio_float_field_K1jhz,delete,,
x_studio_franco,keep,cad_franco,
x_studio_fret,keep,cad_fret,
x_studio_hauteur_carton,keep,cad_hauteur_carton,
x_studio_hauteur_p1,keep,cad_hauteur_p1,
x_studio_hauteur_p2,keep,cad_hauteur_p2,
x_studio_hauteur_pa_1,delete,,
x_studio_id_bl_groupe,keep,cad_id_bl_groupe,
x_studio_impression_bl,keep,cad_impression_bl,
x_studio_impression_mo,keep,cad_impression_mo,
x_studio_integer_field_2dpGF,delete,,
x_studio_interets_moratoires,keep,cad_interets_moratoires,
x_studio_largeur_carton,keep,cad_largeur_carton,
x_studio_livraison,keep,cad_livraison,
x_studio_livraison_vl,keep,cad_livraison_vl,
x_studio_livraison_xpo,keep,cad_livraison_xpo,
x_studio_longueur_carton,keep,cad_longueur_carton,
x_studio_marge,delete,,
x_studio_marque,keep,cad_marque,
x_studio_marque_1,delete,,
x_studio_mode_livraison_xpo,keep,cad_mode_livraison_xpo,
x_studio_n_client,keep,cad_n_client,
x_studio_n_commande,keep,cad_n_commande,
x_studio_n_fournisseur,keep,cad_n_fournisseur,
x_studio_n_partenaire,keep,cad_n_partenaire,
x_studio_nb_bl_groupe,keep,cad_nb_bl_groupe,
x_studio_nb_carton_p1,keep,cad_nb_carton_p1,
x_studio_nb_carton_p2,keep,cad_nb_carton_p2,
x_studio_nb_carton_pa,delete,,
x_studio_nb_palette,keep,cad_nb_palette,
x_studio_nb_palette_euro,keep,cad_nb_palette_euro,
x_studio_nb_piece_p1,keep,cad_nb_piece_p1,
x_studio_nb_piece_p2,keep,cad_nb_piece_p2,
x_studio_nb_piece_pa,delete,,
x_studio_notes,keep,cad_notes,
x_studio_notes_commande,delete,,
x_studio_notes_erreur,keep,cad_notes_erreur,
x_studio_notes_interne,delete,,
x_studio_notes_internes,keep,cad_notes_internes,
x_studio_notes_march,keep,cad_notes_marche,
x_studio_observations_achats,delete,,
x_studio_origine,keep,cad_origine,
x_studio_ouverture_1,keep,cad_ouverture_1,
x_studio_ouverture_2,keep,cad_ouverture_2,
x_studio_palette_achat,delete,,
x_studio_partenaire,keep,cad_partenaire,
x_studio_pices_par_container,delete,,
x_studio_pieces_par_container,keep,cad_pieces_par_container,
x_studio_pod_1,keep,cad_pol_1,
x_studio_poids_carton,keep,cad_poids_carton,
x_studio_premium_xpo,keep,cad_premium_xpo,
x_studio_preparateur_kit,keep,cad_preparateur_kit,
x_studio_pricelist,delete,,
x_studio_prix_remise,keep,cad_prix_remise,
x_studio_prospect,keep,cad_prospect,
x_studio_provenance,keep,cad_provenance,
x_studio_prparateur,keep,cad_preparateur,
x_studio_ref,delete,,
x_studio_ref_article,keep,cad_ref_article,
x_studio_ref_fournisseur,keep,cad_ref_fournisseur,
x_studio_related_field_3a8_1k1oqd81b,keep,cad_bloquer,Champs créé après migration pour afficher le statut bloquer d'un client dans la vue devis
x_studio_rfrence,keep,cad_reference,
x_studio_secteur,keep,cad_secteur,
x_studio_selection_field_39Tzk,delete,,
x_studio_selection_field_8Ec0G,delete,,
x_studio_selection_field_yhPaz,delete,,
x_studio_siret,delete,,
x_studio_substitution,delete,,
x_studio_taux_de_douane_,keep,cad_taux_de_douane,
x_studio_taux_eur_usd,keep,cad_taux_eur_usd,
x_studio_text_field_QlyHj,delete,,
x_studio_tlphone,keep,cad_telephone,
x_studio_transitaire,keep,cad_transitaire,
x_studio_transport,keep,cad_transport,
x_studio_transport_achat,keep,cad_transport_achat,
x_studio_transport_po,keep,cad_transport_po,
x_studio_type,keep,cad_type_container,
x_studio_type_container,keep,cad_type_container,
