model,old_name,new_name,ttype,source
account.account,x_studio_code_taxe,ca_diff_code_taxe,Char,cadiffusion_base/models/account_move.py
account.bank.statement.line,x_studio_code_service_chorus,ca_diff_code_service_chorus,Char,cadiffusion_base/models/account_move.py
account.bank.statement.line,x_studio_etiquettes_clients,ca_diff_etiquettes_clients,Many2many,cadiffusion_base/models/account_move.py
account.bank.statement.line,x_studio_field_rHWR6,ca_diff_field_rHWR6,Many2many,cadiffusion_base/models/account_move.py
account.move,x_studio_code_service_chorus,ca_diff_code_service_chorus,Char,cadiffusion_base/models/account_move.py
account.move,x_studio_etiquettes_clients,ca_diff_etiquettes_clients,Many2many,cadiffusion_base/models/account_move.py
account.move,x_studio_field_rHWR6,ca_diff_field_rHWR6,Many2many,cadiffusion_base/models/account_move.py
account.move.line,x_studio_cmup,ca_diff_cmup,Float,cadiffusion_base/models/account_move.py
account.move.line,x_studio_date,ca_diff_date,Date,cadiffusion_base/models/account_move.py
account.payment,x_studio_code_service_chorus,ca_diff_code_service_chorus,Char,cadiffusion_base/models/account_move.py
account.payment,x_studio_etiquettes_clients,ca_diff_etiquettes_clients,Many2many,cadiffusion_base/models/account_move.py
account.payment,x_studio_field_rHWR6,ca_diff_field_rHWR6,Many2many,cadiffusion_base/models/account_move.py
mrp.production,x_studio_conditionnement,ca_diff_conditionnement,Many2one,cadiffusion_base/models/mrp_production.py
mrp.production,x_studio_impression_mo,ca_diff_impression_mo,Boolean,cadiffusion_base/models/mrp_production.py
mrp.production,x_studio_notes,ca_diff_notes,Text,cadiffusion_base/models/mrp_production.py
mrp.production,x_studio_preparateur_kit,ca_diff_preparateur_kit,Selection,cadiffusion_base/models/mrp_production.py
product.pricelist.item,x_studio_pricelist,ca_diff_pricelist,Char,cadiffusion_base/models/product_pricelist.py
product.pricelist.item,x_studio_ref,ca_diff_ref,Char,cadiffusion_base/models/product_pricelist.py
product.supplierinfo,x_studio_franco,ca_diff_franco,Integer,cadiffusion_base/models/product_supplierinfo.py
product.supplierinfo,x_studio_origine,ca_diff_origine,Selection,cadiffusion_base/models/product_supplierinfo.py
product.supplierinfo,x_studio_provenance,ca_diff_provenance,Selection,cadiffusion_base/models/product_supplierinfo.py
product.supplierinfo,x_studio_type,ca_diff_type,Selection,cadiffusion_base/models/product_supplierinfo.py
product.template,x_studio_douane,ca_diff_douane,Char,cadiffusion_base/models/product_template.py
product.template,x_studio_field_UQwvT,ca_diff_field_UQwvT,Char,cadiffusion_base/models/product_template.py
product.template,x_studio_field_iPtqU,ca_diff_field_iPtqU,Date,cadiffusion_base/models/product_template.py
product.template,x_studio_float_field_K1jhz,ca_diff_float_field_K1jhz,Float,cadiffusion_base/models/product_template.py
product.template,x_studio_hauteur_carton,ca_diff_hauteur_carton,Float,cadiffusion_base/models/product_template.py
product.template,x_studio_hauteur_p1,ca_diff_hauteur_p1,Char,cadiffusion_base/models/product_template.py
product.template,x_studio_hauteur_p2,ca_diff_hauteur_p2,Char,cadiffusion_base/models/product_template.py
product.template,x_studio_largeur_carton,ca_diff_largeur_carton,Float,cadiffusion_base/models/product_template.py
product.template,x_studio_longueur_carton,ca_diff_longueur_carton,Float,cadiffusion_base/models/product_template.py
product.template,x_studio_marque,ca_diff_marque,Selection,cadiffusion_base/models/product_template.py
product.template,x_studio_marque_1,ca_diff_marque_1,Selection,cadiffusion_base/models/product_template.py
product.template,x_studio_nb_carton_p1,ca_diff_nb_carton_p1,Char,cadiffusion_base/models/product_template.py
product.template,x_studio_nb_carton_p2,ca_diff_nb_carton_p2,Char,cadiffusion_base/models/product_template.py
product.template,x_studio_nb_piece_p1,ca_diff_nb_piece_p1,Char,cadiffusion_base/models/product_template.py
product.template,x_studio_nb_piece_p2,ca_diff_nb_piece_p2,Char,cadiffusion_base/models/product_template.py
product.template,x_studio_pieces_par_container,ca_diff_pieces_par_container,Integer,cadiffusion_base/models/product_template.py
product.template,x_studio_poids_carton,ca_diff_poids_carton,Float,cadiffusion_base/models/product_template.py
product.template,x_studio_taux_de_douane_,ca_diff_taux_de_douane_,Float,cadiffusion_base/models/product_template.py
product.template,x_studio_type_container,ca_diff_type_container,Selection,cadiffusion_base/models/product_template.py
purchase.order,x_studio_date_depart,ca_diff_date_depart,Date,cadiffusion_base/models/purchase_order.py
purchase.order,x_studio_date_prvue_initiale,ca_diff_date_prvue_initiale,Date,cadiffusion_base/models/purchase_order.py
purchase.order,x_studio_dispo_confirmee,ca_diff_dispo_confirmee,Date,cadiffusion_base/models/purchase_order.py
purchase.order,x_studio_embarquement,ca_diff_embarquement,Boolean,cadiffusion_base/models/purchase_order.py
purchase.order,x_studio_etat_facture,ca_diff_etat_facture,Selection,cadiffusion_base/models/purchase_order.py
purchase.order,x_studio_field_qrjIt,ca_diff_field_qrjIt,Text,cadiffusion_base/models/purchase_order.py
purchase.order,x_studio_fret,ca_diff_fret,Integer,cadiffusion_base/models/purchase_order.py
purchase.order,x_studio_n_fournisseur,ca_diff_n_fournisseur,Char,cadiffusion_base/models/purchase_order.py
purchase.order,x_studio_observations_achats,ca_diff_observations_achats,Text,cadiffusion_base/models/purchase_order.py
purchase.order,x_studio_pod_1,ca_diff_pod_1,Selection,cadiffusion_base/models/purchase_order.py
purchase.order,x_studio_taux_eur_usd,ca_diff_taux_eur_usd,Float,cadiffusion_base/models/purchase_order.py
purchase.order,x_studio_transitaire,ca_diff_transitaire,Selection,cadiffusion_base/models/purchase_order.py
purchase.order,x_studio_transport_achat,ca_diff_transport_achat,Integer,cadiffusion_base/models/purchase_order.py
purchase.order,x_studio_transport_po,ca_diff_transport_po,Float,cadiffusion_base/models/purchase_order.py
purchase.order,x_studio_type,ca_diff_type,Selection,cadiffusion_base/models/purchase_order.py
purchase.order.line,x_studio_date_initiale,ca_diff_date_initiale,Date,cadiffusion_base/models/purchase_order.py
purchase.order.line,x_studio_ref_fournisseur,ca_diff_ref_fournisseur,Char,cadiffusion_base/models/purchase_order.py
res.partner,x_studio_adresse_echantillon,ca_diff_adresse_echantillon,Boolean,cadiffusion_base/models/res_partner.py
res.partner,x_studio_assurance,ca_diff_assurance,Char,cadiffusion_base/models/res_partner.py
res.partner,x_studio_atradius,ca_diff_atradius,Selection,cadiffusion_base/models/res_partner.py
res.partner,x_studio_categorie_client,ca_diff_categorie_client,Selection,cadiffusion_base/models/res_partner.py
res.partner,x_studio_char_field_zcf7n,ca_diff_char_field_zcf7n,Char,cadiffusion_base/models/res_partner.py
res.partner,x_studio_code_service_chorus,ca_diff_code_service_chorus,Char,cadiffusion_base/models/res_partner.py
res.partner,x_studio_fermeture_2,ca_diff_fermeture_2,Char,cadiffusion_base/models/res_partner.py
res.partner,x_studio_field_SlKde,ca_diff_field_SlKde,Boolean,cadiffusion_base/models/res_partner.py
res.partner,x_studio_interets_moratoires,ca_diff_interets_moratoires,Boolean,cadiffusion_base/models/res_partner.py
res.partner,x_studio_livraison_vl,ca_diff_livraison_vl,Boolean,cadiffusion_base/models/res_partner.py
res.partner,x_studio_livraison_xpo,ca_diff_livraison_xpo,Selection,cadiffusion_base/models/res_partner.py
res.partner,x_studio_notes_internes,ca_diff_notes_internes,Text,cadiffusion_base/models/res_partner.py
res.partner,x_studio_ouverture_1,ca_diff_ouverture_1,Char,cadiffusion_base/models/res_partner.py
res.partner,x_studio_ouverture_2,ca_diff_ouverture_2,Char,cadiffusion_base/models/res_partner.py
res.partner,x_studio_prospect,ca_diff_prospect,Boolean,cadiffusion_base/models/res_partner.py
res.partner,x_studio_secteur,ca_diff_secteur,Selection,cadiffusion_base/models/res_partner.py
sale.order,x_studio_assurance_bc,ca_diff_assurance_bc,Selection,cadiffusion_base/models/sale_order.py
sale.order,x_studio_categorie_client,ca_diff_categorie_client,Selection,cadiffusion_base/models/sale_order.py
sale.order,x_studio_code_service_chorus,ca_diff_code_service_chorus,Char,cadiffusion_base/models/sale_order.py
sale.order,x_studio_etiquettes,ca_diff_etiquettes,Many2many,cadiffusion_base/models/sale_order.py
sale.order,x_studio_livraison,ca_diff_livraison,Html,cadiffusion_base/models/sale_order.py
sale.order,x_studio_n_client,ca_diff_n_client,Char,cadiffusion_base/models/sale_order.py
