_key,state
account,installed
account_accountant,installed
account_accountant_batch_payment,installed
account_add_gln,installed
account_asset,installed
account_bank_statement_extract,installed
account_bank_statement_import,installed
account_bank_statement_import_camt,installed
account_bank_statement_import_csv,installed
account_bank_statement_import_ofx,installed
account_bank_statement_import_qif,installed
account_base_import,installed
account_batch_payment,installed
account_edi_proxy_client,installed
account_edi_ubl_cii,installed
account_einvoice_generate,installed
account_extract,installed
account_followup,installed
account_inter_company_rules,installed
account_invoice_extract,installed
account_invoice_facturx,installed
account_invoice_transmit_method,installed
account_iso20022,installed
account_loans,installed
account_online_payment,installed
account_online_synchronization,installed
account_payment,installed
account_payment_method_base,installed
account_payment_mode,installed
account_payment_partner,installed
account_payment_unece,installed
account_peppol,installed
account_peppol_response,installed
account_qr_code_sepa,installed
account_reports,installed
account_tax_unece,installed
account_transfer,installed
accountant,installed
accountant_hr_expense,installed
ai,installed
ai_account,installed
ai_auto_install,installed
ai_fields,installed
ai_server_actions,installed
ai_website,installed
analytic,installed
analytic_enterprise,installed
api_doc,installed
attachment_indexation,installed
auth_signup,installed
auth_totp,installed
auth_totp_mail,installed
auth_totp_portal,installed
barcodes,installed
barcodes_gs1_nomenclature,installed
base,installed
base_automation,installed
base_automation_hr,installed
base_facturx,installed
base_iban,installed
base_import,installed
base_import_module,installed
base_install_request,installed
base_setup,installed
base_sparse_field,installed
base_unece,installed
base_vat,installed
base_view_inheritance_extension,installed
bi_customer_limit,installed
board,installed
bus,installed
buying_price,installed
ca_date_format,installed
cadiffusion_base,installed
cadiffusion_picking_label_print,installed
calendar,installed
calendar_sms,installed
certificate,installed
contacts,installed
contacts_enterprise,installed
currency_rate_live,installed
data_cleaning,installed
data_merge_project,installed
data_merge_stock_account,installed
data_merge_utm,installed
data_recycle,installed
delivery,installed
digest,installed
digest_enterprise,installed
google_recaptcha,installed
hr,installed
hr_calendar,installed
hr_expense,installed
hr_expense_extract,installed
hr_expense_predict_product,installed
hr_gantt,installed
hr_holidays,installed
hr_holidays_gantt,installed
hr_mobile,installed
hr_org_chart,installed
hr_sign,installed
hr_work_entry,installed
html_builder,installed
html_editor,installed
http_routing,installed
iap,installed
iap_extract,installed
iap_mail,installed
invoice_saleman_onchange,installed
l10n_be,installed
l10n_be_coda,installed
l10n_be_intervat,installed
l10n_be_reports,installed
l10n_be_reports_client_nihil,installed
l10n_be_reports_sms,installed
l10n_be_soda,installed
l10n_fr,installed
l10n_fr_account,installed
l10n_fr_account_invoice_facturx,installed
l10n_fr_chorus_account,installed
l10n_fr_chorus_facturx,installed
l10n_fr_facturx_chorus_pro,installed
l10n_fr_hr_holidays,installed
l10n_fr_reports,installed
l10n_fr_siret,installed
link_tracker,installed
mail,installed
mail_bot,installed
mail_bot_hr,installed
mail_enterprise,installed
mail_mobile,installed
margin,installed
mass_mailing,installed
mass_mailing_themes,installed
mrp,installed
mrp_account,installed
mrp_account_enterprise,installed
mrp_accountant,installed
onboarding,installed
packaging_qty,installed
partner_autocomplete,installed
partner_default_ref,installed
payment,installed
payment_custom,installed
phone_validation,installed
portal,installed
portal_rating,installed
privacy_lookup,installed
product,installed
product_barcodelookup,installed
product_margin,installed
project,installed
project_account,installed
project_account_asset,installed
project_enterprise,installed
project_enterprise_hr,installed
project_holidays,installed
project_hr_expense,installed
project_mrp,installed
project_mrp_account,installed
project_mrp_sale,installed
project_purchase,installed
project_purchase_stock,installed
project_sale_expense,installed
project_sms,installed
project_stock,installed
project_stock_account,installed
public_tender,installed
purchase,installed
purchase_accountant,installed
purchase_edi_ubl_bis3,installed
purchase_mrp,installed
purchase_stock,installed
quality,installed
rating,installed
report_cadiffusion,installed
resource,installed
resource_mail,installed
rpc,installed
sale,installed
sale_account_accountant,installed
sale_edi_ubl,installed
sale_enterprise,installed
sale_expense,installed
sale_expense_margin,installed
sale_management,installed
sale_margin,installed
sale_mrp,installed
sale_mrp_margin,installed
sale_pdf_quote_builder,installed
sale_project,installed
sale_project_stock,installed
sale_project_stock_account,installed
sale_purchase,installed
sale_purchase_inter_company_rules,installed
sale_purchase_project,installed
sale_purchase_stock,installed
sale_purchase_stock_inter_company_rules,installed
sale_service,installed
sale_sms,installed
sale_stock,installed
sale_stock_margin,installed
sales_team,installed
server_environment,installed
shipping_delivery_address,installed
sign,installed
sign_ai,installed
sms,installed
snailmail,installed
social_media,installed
spreadsheet,installed
spreadsheet_account,installed
spreadsheet_dashboard,installed
spreadsheet_dashboard_account,installed
spreadsheet_dashboard_account_accountant,installed
spreadsheet_dashboard_edition,installed
spreadsheet_dashboard_hr_expense,installed
