_key,report_name
account.account_invoices,report_cadiffusion.report_invoice_with_payments
account.account_invoices_without_payment,report_cadiffusion.report_invoice
account.action_account_original_vendor_bill,account.report_original_vendor_bill
account.action_report_account_hash_integrity,account.report_hash_integrity
account.action_report_account_statement,account.report_statement
account.action_report_payment_receipt,account.report_payment_receipt
account_batch_payment.action_print_batch_payment,account_batch_payment.print_batch_payment
account_edi_ubl_cii.action_report_account_invoices_generated_by_odoo,account_edi_ubl_cii.account_invoices_generated_by_odoo
account_followup.action_report_followup,account_followup.report_followup_print_all
base.ir_module_reference_print,base.report_irmodulereference
base.report_ir_model_overview,base.report_irmodeloverview
hr.hr_employee_print_badge,hr.print_employee_badge
hr_expense.action_report_expense_img,hr_expense.report_expense_img
hr_expense.action_report_hr_expense,hr_expense.report_expense
hr_holidays.action_report_holidayssummary,hr_holidays.report_holidayssummary
l10n_be_reports.action_report_325_form_pdf,l10n_be_reports.report_325_pdf
l10n_be_reports.action_report_partner_281_50_pdf,l10n_be_reports.report_281_50_pdf
l10n_be_reports.action_report_partner_281_50_xml,l10n_be_reports.report_281_50_xml
mrp.action_report_bom_structure,mrp.report_bom_structure
mrp.action_report_finished_product,mrp.label_production_view_pdf
mrp.action_report_mrp_mo_overview,mrp.report_mo_overview
mrp.action_report_production_order,mrp.report_mrporder
mrp.action_report_workorder,mrp.report_mrp_workorder
mrp.label_manufacture_template,mrp.label_production_view
mrp_account.wip_report,mrp_account.report_wip
product.action_report_pricelist,product.report_pricelist
product.report_product_packaging,product.report_packagingbarcode
product.report_product_template_label_2x7,product.report_producttemplatelabel2x7
product.report_product_template_label_4x12,product.report_producttemplatelabel4x12
product.report_product_template_label_4x12_noprice,product.report_producttemplatelabel4x12noprice
product.report_product_template_label_4x7,product.report_producttemplatelabel4x7
product.report_product_template_label_dymo,product.report_producttemplatelabel_dymo
purchase.action_report_purchase_order,report_cadiffusion.report_purchaseorder
purchase.report_purchase_quotation,purchase.report_purchasequotation
report_cadiffusion.action_report_delivery_reserved,report_cadiffusion.report_deliveryslip_reserved
report_cadiffusion.action_report_invoice_autre,report_cadiffusion.report_invoice_autre
report_cadiffusion.action_report_invoice_tcare,report_cadiffusion.report_invoice_tcare
sale.action_report_pro_forma_invoice,sale.report_saleorder_pro_forma
sale.action_report_saleorder,sale.report_saleorder
sale_pdf_quote_builder.action_report_saleorder_raw,sale.report_saleorder_raw
sign.action_sign_request_print_logs,sign.sign_request_logs_user
sign.sign_report_green_savings_action,sign.green_savings_report
stock.action_report_delivery,report_cadiffusion.report_deliveryslip
stock.action_report_inventory,stock.report_inventory
stock.action_report_location_barcode,stock.report_location_barcode
stock.action_report_lot_label,stock.report_lot_label
stock.action_report_package_barcode,stock.report_package_barcode
stock.action_report_package_barcode_small,stock.report_package_barcode_small
stock.action_report_package_history_barcode,stock.report_package_history_barcode
stock.action_report_package_history_barcode_small,stock.report_package_history_barcode_small
stock.action_report_picking,stock.report_picking
stock.action_report_picking_packages,stock.report_picking_packages
stock.action_report_picking_type_label,stock.report_picking_type_label
stock.action_report_stock_rule,stock.report_stock_rule
stock.label_lot_template,stock.label_lot_template_view
stock.label_package_history_template,stock.label_package_history_template_view
stock.label_package_template,stock.label_package_template_view
stock.label_packaging_barcode,stock.label_packaging_barcode_view
stock.label_picking,stock.report_reception_report_label
stock.label_picking_type,stock.label_picking_type_view
stock.label_product_product,stock.label_product_product_view
stock.return_label_report,stock.report_return_document
stock.stock_reception_report_action,stock.report_reception
studio_customization.factures_sans_paieme_ef6af8d0-5ebc-472e-9d25-22d565f71397,report_cadiffusion.report_invoice_autre
studio_customization.pieces_comptables_ra_f16b32c4-f6ea-4d4e-bc8a-d341f6a3a987,report_cadiffusion.report_invoice_tcare
web.action_report_externalpreview,web.preview_externalreport
web.action_report_internalpreview,web.preview_internalreport
web.action_report_layout_preview,web.preview_layout_report
